created_at,post_id,post_url,post_text,author_id,author_username
2021-06-07 04:27:28,1944713005695266,https://m.facebook.com/groups/104190026414249/permalink/1944713005695266/,But on a positive note thank you all for your prayers my daughter labs results were available today and she's out of the critical range God is good,100003047704933.0,Rita Allen
2021-06-07 04:24:38,1944711902362043,https://m.facebook.com/groups/104190026414249/permalink/1944711902362043/,"So I made an acquaintance and I had a really good day yesterday and today I don't know if things already went South. And I try not to thin about my narcissistic autistic son father but I can't help it when it was such a rough day with my autistic son pottying today and I didn't want to change him I felt so just I don't know what to say but I have to I don't know if it's the fact that it's 92 freaking degrees outside and my room is still hot as I make sure my kids are cool and I'm just having another STUPID meltdown it seems yet again see I try and try to stay positive and then BOOM that's just not possible from my autistic son pooping and now that he broke the lock on the fridge that was keeping him from overeating and because he broke the lock amongst other things not just my son though but he didn't help it and now the fridge is on its last leg..

oh did I mention I just went grocery shopping for my family of 7 🥺🥺😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭. So that's meaning plenty of food is about to go bad . I can't catch a break for JACK why me why why why why why me what have I done so wrong to just continue to just constantly be dealing with and overwhelmed with ALOT 🥺

And back to my acquaintance yeah it doesn't seem like that's gonna work out especially in regards to me as the mom where her kids come first and foremost and I don't regret that one bit. SOOOOO I think I'm just hell bent and drowning to be ALONE cuz who's gonna understand all these situations and circumstances I deal with on a daily basis. But I will say this I guess I could TRULY say and Appreciate one good day out of MANY 🤗🤗🤗. See that's me trying to still find the positive LOL when there's ACTUALLY not one there 🥺🥺😭😭😭😭😭😭

Oh wait there's more I believe that since my taxes had to be done by mail guess who will be getting this child tax credit stuff eventho it may be corrected months later down the line where I will receive it but guess who will get it in July 🤬🤬🤬🤬🤬🤬😭😭😭😭😭😭😭😭😭😭.

WHY me WHY WHY WHY me",100003047704933.0,Rita Allen
2021-06-06 08:41:10,1944115989088301,https://m.facebook.com/groups/104190026414249/permalink/1944115989088301/,I called 911 for my domestic violence paramedics showed up and took me to the hospital they never reported to the police department it is 2 Days later and I still have a black eye and police department is asking why didn't I file up for two days ago when it happened I did the paramedics showed up followed to tell the police department about it and took me to the hospital instead and it is my fault and now I can do nothing about the domestic violence or the black guy I currently still have that night I went to the hospital I went I had a seizure because it showed me into the point where I was unconscious and seizing on the floor then later that night when I go to the hospital he gave me a block I called 911 and I went to the hospital again and they fell to make a report with the police department and now it is 2 days later I am currently out of the hospital and now it is too late I love how the cops are blaming me for not telling them sooner when it's not my fault the paramedics did not notify them of our current domestic situation at the time,100066270700920.0,Melissa Barr-Ellifritt
2021-06-05 17:04:15,1943613362471897,https://m.facebook.com/groups/104190026414249/permalink/1943613362471897/,Prayers needed got to take my girl crew to get some major blood work done to find out if one will be out the critical range and the others two still on normal 🙏🏿🙏🏿🙏🏿🙏🏿,100003047704933.0,Rita Allen
2021-06-05 11:44:56,1943450062488227,https://m.facebook.com/groups/104190026414249/permalink/1943450062488227/,"QUESTION....

What could I've done so wrong in my life to constantly keep dealing with these different levels of heartache and pain all I wanna do is be a happy family with one.... Someone who can accept the fact that I don't smoke,drink, or do drugs, someone that can respect and accept and have patience for my KIDS as they're first and foremost in my life with their special needs and THINGS. Someone that can love being a homebody which entails mean don't have to go out to the clubs and kicking it and things love to stay home watch movies, tv and play videogames, one that would love going to Sam's club or Walmart with me on the regular to go grocery shopping and things One person that will respect love care be loyal kind and honest and compassionate with me and only me will contribute to our lives 50/50 and can be happy with loving me and only me not cheating or me having trust issues about him cheating as I can trust him one hundred percent.

I mean is that too much to ask",100003047704933.0,Rita Allen
2021-06-04 13:41:13,1942755515891015,https://m.facebook.com/groups/104190026414249/permalink/1942755515891015/,"QUESTION......

HOW AM I THE BAD GUY. 🥺🥺

I don't do DRAMA so I'm the bad guy, I don't smoke or drink or do drugs I'm the bad guy ALL I do is take care of my kids and make sure they're happy and I'm the bad guy for these things cuz I put my kids first and foremost I give and give my heart I'll give the clothes off my back to help others and what do I get hurt, heartbroken, emotionally and mentally abused and when I need help or a shoulder to cry on NO ONES there and that's why I feel so unloved unwanted and alone no matter how much I give and give and give 🥺 no one appreciates me 🥺 WHY I don't get or understand this world 💔",100003047704933.0,Rita Allen
2021-06-04 13:31:55,1942750922558141,https://m.facebook.com/groups/104190026414249/permalink/1942750922558141/,Still very down rough night as my 2 younger girls woke up early I gotta get blood work for my daughter critical levels send prayers please cuz I'm trying and don't know 😭,100003047704933.0,Rita Allen
2021-06-04 09:16:01,1942636429236257,https://m.facebook.com/groups/104190026414249/permalink/1942636429236257/,Does anybody’s spouse act like they didn’t do anything when they hit you? Like once they calm down? “Why are you sad?” “You’re not going to give me a hug?” It’s like mine is in denial or something it’s insane. He had the nerve to call me the day after and complain to me that his sister got back together with a guy that “beat the s* out of her” but then looks at me like why do I have a problem.,100062885198286.0,Crystal Lynn
2021-06-03 20:01:06,1942260235940543,https://m.facebook.com/groups/104190026414249/permalink/1942260235940543/,"Don't know what to do losing it on so many levels and I have no where to turn without feeling like a failure, dumb, STUPID, ALONE why can't I find a positive in anything 😭",100003047704933.0,Rita Allen
2021-06-02 12:27:02,1941241076042459,https://m.facebook.com/groups/104190026414249/permalink/1941241076042459/,"Fourth part to the post from 2 days ago so much to this story of me 🥺🥺🥺🥺

I spend time with my kids and love them to the moon and BEYOND ❤️ and that's why I try and keep Fighting for them each and everyday and I say DEVIL BE GONE when those suicidal...",100003047704933.0,Rita Allen
